,DATE_TIME,DC_POWER,AC_POWER,REACTIVE_POWER,VOLTAGE,AMPERAGE,POWER_FACTOR
0,2020-05-15 00:00:00,0.0,0.0,0.0,21.966,0.0,
1,2020-05-15 00:15:00,0.0,0.0,0.0,21.986,0.0,
2,2020-05-15 00:30:00,0.0,0.0,0.0,22.003,0.0,
3,2020-05-15 00:45:00,0.0,0.0,0.0,22.003,0.0,
4,2020-05-15 01:00:00,0.0,0.0,0.0,23.024,0.0,
5,2020-05-15 01:15:00,0.0,0.0,0.0,22.002,0.0,
6,2020-05-15 01:30:00,0.0,0.0,0.0,22.03,0.0,
7,2020-05-15 01:45:00,0.0,0.0,0.0,23.048,0.0,
8,2020-05-15 02:00:00,0.0,0.0,0.0,21.992,0.0,
9,2020-05-15 02:15:00,0.0,0.0,0.0,22.051,0.0,
10,2020-05-15 02:30:00,0.0,0.0,0.0,22.019,0.0,
11,2020-05-15 02:45:00,0.0,0.0,0.0,21.993,0.0,
12,2020-05-15 03:00:00,0.0,0.0,0.0,21.998,0.0,
13,2020-05-15 03:15:00,0.0,0.0,0.0,22.027,0.0,
14,2020-05-15 03:30:00,0.0,0.0,0.0,22.048,0.0,
15,2020-05-15 03:45:00,0.0,0.0,0.0,21.964,0.0,
16,2020-05-15 04:00:00,0.0,0.0,0.0,21.957,0.0,
17,2020-05-15 04:15:00,0.0,0.0,0.0,23.04,0.0,
18,2020-05-15 04:30:00,0.0,0.0,0.0,23.029,0.0,
19,2020-05-15 04:45:00,0.0,0.0,0.0,23.052,0.0,
20,2020-05-15 05:00:00,0.0,0.0,0.0,23.038,0.0,
21,2020-05-15 05:15:00,0.0,0.0,0.0,22.054,0.0,
22,2020-05-15 05:30:00,0.0,0.0,0.0,22.029,0.0,
23,2020-05-15 05:45:00,0.0,0.0,0.0,22.0,0.0,
24,2020-05-15 06:00:00,942.149,909.292,0.033,21.98,0.898,0.97
25,2020-05-15 06:15:00,6142.101,5933.386,0.208,22.01,5.86,0.97
26,2020-05-15 06:30:00,15271.155,14801.947,0.47,23.008,14.604,0.97
27,2020-05-15 06:45:00,28626.588,27904.482,0.721,22.982,27.401,0.97
28,2020-05-15 07:00:00,41345.913,40526.621,0.82,23.087,39.401,0.98
29,2020-05-15 07:15:00,44564.211,43687.225,0.877,23.039,42.557,0.98
30,2020-05-15 07:30:00,43619.293,42759.351,0.86,22.994,41.733,0.98
31,2020-05-15 07:45:00,44395.893,43520.948,0.874,23.021,42.426,0.98
32,2020-05-15 08:00:00,64834.803,63656.09,1.178,23.052,61.88,0.98
33,2020-05-15 08:15:00,101937.158,100020.646,1.917,23.073,97.218,0.98
34,2020-05-15 08:30:00,112129.568,109956.03,2.173,23.091,106.837,0.98
35,2020-05-15 08:45:00,92505.465,90800.679,1.704,22.975,88.588,0.98
36,2020-05-15 09:00:00,165598.892,162113.5,3.486,23.024,158.22,0.98
37,2020-05-15 09:15:00,98826.018,96928.32,1.896,23.047,94.389,0.98
38,2020-05-15 09:30:00,76522.251,75113.999,1.409,23.055,73.054,0.98
39,2020-05-15 09:45:00,161370.035,157931.126,3.439,23.053,154.0,0.98
40,2020-05-15 10:00:00,183026.216,178967.983,4.059,23.023,174.913,0.98
41,2020-05-15 10:15:00,158716.554,155319.5,3.397,23.045,151.503,0.98
42,2020-05-15 10:30:00,129103.635,126485.916,2.618,23.042,123.25,0.98
43,2020-05-15 10:45:00,113123.143,110916.29,2.207,23.019,108.13,0.98
